num_features,metric,num_trees,num_neighbours,subsample_size,accuracy,time_for_pipeline
5,angular,5,5,200,0.235,1.8923
5,angular,5,5,500,0.226,1.5602
5,angular,5,5,1000,0.328,1.9026
5,angular,5,10,200,0.32,1.2742
5,angular,5,10,500,0.336,1.4377
5,angular,5,10,1000,0.342,1.7044
5,angular,5,50,200,0.705,1.2353
5,angular,5,50,500,0.328,2.0041
5,angular,5,50,1000,0.431,2.691
5,angular,10,5,200,0.245,1.6745
5,angular,10,5,500,0.29,1.8628
5,angular,10,5,1000,0.371,2.1253
5,angular,10,10,200,0.3,0.9354
5,angular,10,10,500,0.332,1.1175
5,angular,10,10,1000,0.425,1.7701
5,angular,10,50,200,0.72,0.9521
5,angular,10,50,500,0.344,1.2331
5,angular,10,50,1000,0.43,1.6845
5,angular,30,5,200,0.245,1.0846
5,angular,30,5,500,0.286,1.7348
5,angular,30,5,1000,0.377,2.2542
5,angular,30,10,200,0.31,1.5376
5,angular,30,10,500,0.334,1.9638
5,angular,30,10,1000,0.425,2.3724
5,angular,30,50,200,0.72,1.0976
5,angular,30,50,500,0.346,1.1061
5,angular,30,50,1000,0.41,1.6915
5,euclidean,5,5,200,0.515,0.8035
5,euclidean,5,5,500,0.436,1.0355
5,euclidean,5,5,1000,0.355,1.3706
5,euclidean,5,10,200,0.68,0.8562
5,euclidean,5,10,500,0.742,1.0839
5,euclidean,5,10,1000,0.594,1.4463
5,euclidean,5,50,200,0.995,1.1943
5,euclidean,5,50,500,0.726,1.5728
5,euclidean,5,50,1000,0.803,2.0977
5,euclidean,10,5,200,0.545,1.3022
5,euclidean,10,5,500,0.426,1.5561
5,euclidean,10,5,1000,0.446,2.1297
5,euclidean,10,10,200,0.695,0.8205
5,euclidean,10,10,500,0.792,0.9708
5,euclidean,10,10,1000,0.636,1.1933
5,euclidean,10,50,200,1.0,0.8869
5,euclidean,10,50,500,0.942,1.0291
5,euclidean,10,50,1000,0.923,1.3708
5,euclidean,30,5,200,0.595,0.8048
5,euclidean,30,5,500,0.454,1.0123
5,euclidean,30,5,1000,0.521,1.2496
5,euclidean,30,10,200,0.775,1.13
5,euclidean,30,10,500,0.828,1.4466
5,euclidean,30,10,1000,0.695,2.0521
5,euclidean,30,50,200,1.0,1.2157
5,euclidean,30,50,500,0.964,1.7038
5,euclidean,30,50,1000,0.978,2.5332
5,manhattan,5,5,200,0.45,1.0739
5,manhattan,5,5,500,0.356,0.8389
5,manhattan,5,5,1000,0.287,1.2658
5,manhattan,5,10,200,0.625,0.8856
5,manhattan,5,10,500,0.702,1.1493
5,manhattan,5,10,1000,0.515,1.4589
5,manhattan,5,50,200,0.92,0.8861
5,manhattan,5,50,500,0.826,1.0754
5,manhattan,5,50,1000,0.825,1.2562
5,manhattan,10,5,200,0.53,0.8717
5,manhattan,10,5,500,0.414,1.2939
5,manhattan,10,5,1000,0.498,1.9612
5,manhattan,10,10,200,0.715,1.0776
5,manhattan,10,10,500,0.774,1.7273
5,manhattan,10,10,1000,0.624,1.8068
5,manhattan,10,50,200,0.89,1.2925
5,manhattan,10,50,500,0.888,1.2493
5,manhattan,10,50,1000,0.854,1.3175
5,manhattan,30,5,200,0.585,0.6845
5,manhattan,30,5,500,0.438,0.8478
5,manhattan,30,5,1000,0.51,1.345
5,manhattan,30,10,200,0.705,0.734
5,manhattan,30,10,500,0.792,0.8864
5,manhattan,30,10,1000,0.665,1.4646
5,manhattan,30,50,200,0.87,0.8604
5,manhattan,30,50,500,0.866,1.0504
5,manhattan,30,50,1000,0.926,2.1841
15,angular,5,5,200,0.23,0.9951
15,angular,5,5,500,0.376,1.4016
15,angular,5,5,1000,0.339,1.816
15,angular,5,10,200,0.34,0.9351
15,angular,5,10,500,0.36,1.5235
15,angular,5,10,1000,0.349,1.8323
15,angular,5,50,200,0.44,0.6815
15,angular,5,50,500,0.654,1.025
15,angular,5,50,1000,0.723,1.3148
15,angular,10,5,200,0.25,0.9233
15,angular,10,5,500,0.434,1.1382
15,angular,10,5,1000,0.44,1.3708
15,angular,10,10,200,0.385,0.8449
15,angular,10,10,500,0.396,0.8292
15,angular,10,10,1000,0.428,1.2557
15,angular,10,50,200,0.47,1.0176
15,angular,10,50,500,0.71,1.3168
15,angular,10,50,1000,0.824,2.0122
15,angular,30,5,200,0.285,1.014
15,angular,30,5,500,0.466,1.5203
15,angular,30,5,1000,0.483,2.016
15,angular,30,10,200,0.37,1.045
15,angular,30,10,500,0.392,1.1863
15,angular,30,10,1000,0.479,1.512
15,angular,30,50,200,0.475,0.6372
15,angular,30,50,500,0.756,1.095
15,angular,30,50,1000,0.797,1.4595
15,euclidean,5,5,200,0.585,0.7424
15,euclidean,5,5,500,0.534,0.9582
15,euclidean,5,5,1000,0.549,1.1602
15,euclidean,5,10,200,0.725,0.723
15,euclidean,5,10,500,0.522,1.4866
15,euclidean,5,10,1000,0.509,1.7975
15,euclidean,5,50,200,0.97,1.0734
15,euclidean,5,50,500,0.844,1.2795
15,euclidean,5,50,1000,0.85,1.8958
15,euclidean,10,5,200,0.73,1.0306
15,euclidean,10,5,500,0.632,1.4283
15,euclidean,10,5,1000,0.633,1.3997
15,euclidean,10,10,200,0.89,0.7108
15,euclidean,10,10,500,0.672,0.8225
15,euclidean,10,10,1000,0.636,1.2845
15,euclidean,10,50,200,1.0,0.8226
15,euclidean,10,50,500,0.998,0.9103
15,euclidean,10,50,1000,0.96,1.5688
15,euclidean,30,5,200,0.805,0.8125
15,euclidean,30,5,500,0.76,0.8449
15,euclidean,30,5,1000,0.735,1.4481
15,euclidean,30,10,200,0.96,0.9299
15,euclidean,30,10,500,0.814,1.3263
15,euclidean,30,10,1000,0.789,1.9276
15,euclidean,30,50,200,1.0,1.0305
15,euclidean,30,50,500,1.0,1.4357
15,euclidean,30,50,1000,0.999,2.1558
15,manhattan,5,5,200,0.41,0.9567
15,manhattan,5,5,500,0.532,1.0245
15,manhattan,5,5,1000,0.53,1.3357
15,manhattan,5,10,200,0.52,0.8169
15,manhattan,5,10,500,0.478,0.9739
15,manhattan,5,10,1000,0.495,1.1705
15,manhattan,5,50,200,0.98,0.7381
15,manhattan,5,50,500,0.78,1.1262
15,manhattan,5,50,1000,0.77,1.4118
15,manhattan,10,5,200,0.6,0.8576
15,manhattan,10,5,500,0.606,1.2678
15,manhattan,10,5,1000,0.633,1.9468
